"Year","Area","Street","Street.2"
2011,"Birmingham","road.Ardenroad",""
2011,"Birmingham","road.Ardencotefroad",""
2011,"Birmingham","Ashleyclose",""
2011,"Birmingham","Baltispicebristolrdsouth",""
2011,"Birmingham","Barneshill",""
2011,"Birmingham","Barrowhouse",""
2011,"Birmingham","str.Bellstreet",""
2011,"Birmingham","str.Birminghamnewstreet",""
2011,"Birmingham","str.Birminghamnewstreet",""
2011,"Birmingham","str.Birminghamnewstreet",""
2011,"Birmingham","str.Birminghamstreet Oldbury",""
2011,"Birmingham","road.Blandfordroad",""
2011,"Birmingham","road.Bournbrookroad",""
2011,"Birmingham","Bournvillefrontoffice",""
2011,"Birmingham","Bournvillefrontoffice",""
2011,"Birmingham","lane.Bournvillelane",""
2011,"Birmingham","lane.Bournvillelane",""
2011,"Birmingham","lane.Bournvillelanefrontoffice",""
2011,"Birmingham","road.Bowlinggreenroad",""
2011,"Birmingham","Bristolrd",""
2011,"Birmingham","Bristolrd",""
2011,"Birmingham","Bristolrd",""
2011,"Birmingham","Bristolrd",""
2011,"Birmingham","Bristolrdsellyoak",""
2011,"Birmingham","Bristolrdsouth",""
2011,"Birmingham","Bristolrdsouth",""
2011,"Birmingham","Bristolrdsth",""
2011,"Birmingham","Bristolrd Northfield",""
2011,"Birmingham","Bristolrd Sellyoak",""
2011,"Birmingham","road.Bristolroad",""
2011,"Birmingham","road.Bristolroad",""
2011,"Birmingham","road.Bristolroad",""
2011,"Birmingham","road.Bristolroad",""
2011,"Birmingham","road.Bristolroad",""
2011,"Birmingham","road.Bristolroad",""
2011,"Birmingham","road.Bristolroad",""
2011,"Birmingham","road.Bristolroad",""
2011,"Birmingham","road.Bristolroad",""
2011,"Birmingham","road.Bristolroad",""
2011,"Birmingham","road.Bristolroad",""
2011,"Birmingham","road.Bristolroad",""
2011,"Birmingham","road.Bristolroad",""
2011,"Birmingham","road.Bristolroad",""
2011,"Birmingham","road.Bristolroadnorthfield",""
2011,"Birmingham","road.Bristolroadsellyoak",""
2011,"Birmingham","road.Bristolroadsellyoak",""
2011,"Birmingham","road.Bristolroadsellyoak",""
2011,"Birmingham","road.Bristolroadsouth Northfield",""
2011,"Birmingham","road.Bristolroadsouth Sellyoak",""
2011,"Birmingham","road.Bristolroad Sellyoak",""
2011,"Birmingham","road.Bristolroad Sellyoak",""
2011,"Birmingham","road.Bristolroad Sellyoak",""
2011,"Birmingham","str.Broadstreet",""
2011,"Birmingham","str.Broadstreet",""
2011,"Birmingham","str.Broadstreet",""
2011,"Birmingham","str.Broadstreet Citycentre",""
2011,"Birmingham","str.Broadstreet Citycentre",""
2011,"Birmingham","lane.Brooklane",""
2011,"Birmingham","road.Bunburryroad",""
2011,"Birmingham","road.Bunburryroad",""
2011,"Birmingham","Burnhillgrove Weoleycastle Birmingham ",""
2011,"Birmingham","lane.Carparkofbournvillelanep Stn",""
2011,"Birmingham","road.Chinbrookroad Billsley",""
2011,"Birmingham","Churchhillnortthfield",""
2011,"Birmingham","road.Churchroad",""
2011,"Birmingham","road.Comptonroad Cradleyheath",""
2011,"Birmingham","road.Costcutters Ardernroad",""
2011,"Birmingham","road.Dawberryroad",""
2011,"Birmingham","road.Dawlishroad",""
2011,"Birmingham","Dingleclub",""
